Tag,Avrg_RT,Frequency,Is subset?,Avrg_RT/Freq
PSP,2.494595009596929,1563,No,0.0015960300765175488
NN,3.5174431202600216,1846,No,0.001905440476847249
VAUX,1.485937106918239,636,Yes,0.002336379098928049
SYM,1.6776833333333334,660,No,0.0025419444444444448
VM,2.450880503144654,954,No,0.002569057131178883
NNP,3.5193660130718953,612,Yes,0.005750598060574992
CC,2.772181818181818,308,No,0.009000590318772136
JJ,6.563046548956661,623,No,0.01053458515081326
QC,2.2376898395721923,187,No,0.011966255826589263
RP,2.43931875,160,No,0.0152457421875
PRON,5.33078,300,No,0.017769266666666665
DEM,3.743231578947368,190,No,0.019701218836565094
NNPC,6.56,229,Yes,0.028646288209606983
NEG,1.5122820512820512,39,No,0.03877646285338593
NNC,5.975830188679245,106,Yes,0.05637575649697401
RB,20.69974482758621,290,No,0.07137843043995244
QO,3.0317600000000002,25,No,0.12127040000000001
QF,10.434060606060607,66,No,0.15809182736455465
RDP,1.2715,6,No,0.21191666666666667
WQ,3.0391538461538463,13,No,0.2337810650887574
NST,12.593974358974359,39,No,0.322922419460881
INTF,17.64525,44,No,0.4010284090909091
ECH,9.4435,4,No,2.360875
JJP,18.6895,6,No,3.1149166666666663
UNK,29.671,1,No,29.671
