index,sent_id,tokens,anno1,anno2
0,GUM_bio_dvorak-26,All,0,0
1,GUM_bio_dvorak-25,of,0,0
2,GUM_bio_dvorak-24,Dvořák,0,0
3,GUM_bio_dvorak-23,'s,1,1
4,GUM_bio_dvorak-22,nine,0,0
5,GUM_bio_dvorak-21,operas,1,1
6,GUM_bio_dvorak-20,but,0,0
7,GUM_bio_dvorak-19,his,1,1
8,GUM_bio_dvorak-18,first,0,0
9,GUM_bio_dvorak-17,have,0,0
10,GUM_bio_dvorak-16,librettos,0,0
11,GUM_bio_dvorak-15,in,1,1
12,GUM_bio_dvorak-14,Czech,0,0
13,GUM_bio_dvorak-13,and,0,0
14,GUM_bio_dvorak-12,were,0,0
15,GUM_bio_dvorak-11,intended,1,1
16,GUM_bio_dvorak-10,to,0.413816850303634,0.413816850303634
17,GUM_bio_dvorak-9,convey,1.0391062939495,1.0391062939495
18,GUM_bio_dvorak-8,Czech,0,0
19,GUM_bio_dvorak-7,national,0,0
20,GUM_bio_dvorak-6,spirit,0,0
21,GUM_bio_dvorak-5,",",0.0360413223614584,0.0360413223614584
22,GUM_bio_dvorak-4,as,0,0
23,GUM_bio_dvorak-3,were,0,0
24,GUM_bio_dvorak-2,some,1,1
25,GUM_bio_dvorak-1,of,0,0
26,GUM_bio_dvorak0,his,0,0
27,GUM_bio_dvorak1,choral,1,1
28,GUM_bio_dvorak2,works,0,0
29,GUM_bio_dvorak3,.,0,0
30,GUM_bio_jespersen-14,His,0.2,0.2
31,GUM_bio_jespersen-13,early,0,0
32,GUM_bio_jespersen-12,work,0.5,0.5
33,GUM_bio_jespersen-11,focused,0,0
34,GUM_bio_jespersen-10,primarily,0,0
35,GUM_bio_jespersen-9,on,0,1
36,GUM_bio_jespersen-8,language,1,0
37,GUM_bio_jespersen-7,teaching,0,0
38,GUM_bio_jespersen-6,reform,1,0
39,GUM_bio_jespersen-5,and,0,0
40,GUM_bio_jespersen-4,on,1,0
41,GUM_bio_jespersen-3,phonetics,0,0
42,GUM_bio_jespersen-2,",",0,0
43,GUM_bio_jespersen-1,but,0,0
44,GUM_bio_jespersen0,he,1,0
45,GUM_bio_jespersen1,is,0,0
46,GUM_bio_jespersen2,best,0,0
47,GUM_bio_jespersen3,known,0,0
48,GUM_bio_jespersen4,for,1,0
49,GUM_bio_jespersen5,his,0.413816850303634,0
50,GUM_bio_jespersen6,later,1.0391062939495,0
51,GUM_bio_jespersen7,work,0,0
52,GUM_bio_jespersen8,on,0,0
53,GUM_bio_jespersen9,syntax,0,0
54,GUM_bio_jespersen10,and,0.0360413223614584,0
55,GUM_bio_jespersen11,on,0,0
56,GUM_bio_jespersen12,language,0,0
57,GUM_bio_jespersen13,development,1,0
58,GUM_bio_jespersen14,.,0,0
59,GUM_academic_art-4,Andrew,0,0
60,GUM_academic_art-3,Beresford,1,1.0391062939495
61,GUM_academic_art-2,a.m.beresford@durham.ac.uk,0,0
62,GUM_academic_art-1,Durham,0,0
63,GUM_academic_art0,University,0.2,0
64,GUM_academic_art1,",",0,0
65,GUM_academic_art2,United,0.5,0
66,GUM_academic_art3,Kingdom,0,0
67,GUM_academic_replication-20,The,0,0
68,GUM_academic_replication-19,narrative,1,0
69,GUM_academic_replication-18,review,0,0
70,GUM_academic_replication-17,is,0,1.0391062939495
71,GUM_academic_replication-16,organized,0,1
72,GUM_academic_replication-15,around,0,1
